lng,lat,date,city,state,country,shape,duration,comments,year,month,day
-95.235,38.9716667,2001-12-01 22:10:00,lawrence,ks,us,formation,90.0,A formation of approx. 11 lights,2001,12,1
-96.10861109999999,36.1397222,2001-12-01 22:10:00,sand springs,ok,us,formation,300.0,Single light becomes multiple sustained lights moving from South to North across Northeast Oklahoma Sky.,2001,12,1
-98.3416667,40.925,2001-12-01 22:15:00,grand island,ne,us,fireball,300.0,Fireballs in Sky,2001,12,1
-97.60194440000001,32.6958333,2001-12-01 22:18:00,aledo,tx,us,formation,60.0,Three craft&#44 with red and white &quot;tails&quot;&#44 slower and larger than shooting strars were seen moving fron SW to Northeast.,2001,12,1
-94.8188889,38.8813889,2001-12-01 22:18:00,olathe,ks,us,light,180.0,Streaking firework-type lights going south to north over western Olathe KS,2001,12,1
-101.2002778,30.71,2001-12-01 22:20:00,ozona,tx,us,cone,120.0,slow moving groups of lights with tails moving in cone shaped formation from west to east at a low altitude.,2001,12,1
-97.33722220000001,37.6922222,2001-12-01 22:20:00,wichita,ks,us,formation,180.0,Formation of  18 to 20 bright objects leaving contrails in Wichita Kansas,2001,12,1
-96.9952778,37.2397222,2001-12-01 22:20:00,winfield,ks,us,cylinder,180.0,We saw an object made up of streaming light that was approximately 1 1/2 miles long that made no sound.,2001,12,1
-95.3058333,33.349166700000005,2001-12-01 22:30:00,eureka,tx,us,fireball,10.0,Two lights w/firetail changed direction in sky at high rate of speed.,2001,12,1
-101.4783333,32.2502778,2001-12-01 23:00:00,big spring,tx,us,other,30.0,bright lights stream across sky and leave a bright orange tail then slowly fade out.,2001,12,1
-97.51611109999999,35.4675,2001-12-01 23:15:00,oklahoma city,ok,us,formation,120.0,5 lights with orange trails,2001,12,1
-106.65055559999999,35.084444399999995,2001-12-02 18:45:00,albuquerque,nm,us,formation,2700.0,Formation - White Triangle&#44 String of Lights&#44 and Large Red Glow,2001,12,2
-82.0133333,39.9402778,2001-12-03 23:00:00,zanesville,oh,us,triangle,360.0,3 friends and i saw 2 triangular crafts appear from the northwest sky.,2001,12,3
-74.0063889,40.7141667,2001-12-04 20:40:00,new york city (staten island),ny,us,light,2.0,Tonight is a clear night&#44 I was in my backyard looking up at the stars when I saw 4 faded red lights in a half V formation streak acros,2001,12,4
-80.01361109999999,36.9227778,2001-12-05 21:30:00,ferrum,va,us,oval,60.0,It was amazing and scary.,2001,12,5
-71.53805559999999,43.2080556,2001-12-07 22:00:00,concord,nh,us,rectangle,10.0,looked like cessna without any navigation lights except no shadow/blackness where body should have been.,2001,12,7
-94.7333333,38.9536111,2001-12-08 17:45:00,lenexa,ks,us,light,420.0,Bright light belived to be a comet or metior.,2001,12,8
-71.4655556,43.0966667,2001-12-10 17:30:00,hooksett,nh,us,disk,120.0,A few scary sighting by two seperate groups of people at two different times.,2001,12,10
