lng,lat,date,city,state,country,shape,duration,comments,year,month,day
-82.99888890000001,39.961111100000004,2003-08-30 14:00:00,columbus,oh,us,formation,900.0,Formation of five points of lights in daylight&#44 hovering and changing foramtion&#44 comparable to satalites in brightness&#44 rising up until,2003,8,30
-84.0969444,36.9486111,2003-09-17 21:00:00,corbin,ky,us,light,9.0,Strange vanilla star-like light descends over yard.,2003,9,17
-75.9591667,42.11555560000001,2003-11-23 20:45:00,johnson city,ny,us,circle,420.0,A brite lite,2003,11,23
-75.0641667,42.4527778,2004-02-13 22:00:00,oneonta,ny,us,unknown,3600.0,Strange moving&#44 multi-colored light&#44 not a plane satellite or star.  ((NUFORC Note:  Possibly the star&#44 &quot;Sirius?&quot;  PD)),2004,2,13
-73.64527779999999,40.7563889,2004-02-14 19:30:00,williston park,ny,us,fireball,60.0,Blue-green ball of light,2004,2,14
-81.9275,36.0872222,2004-02-18 07:00:00,newland,nc,us,oval,480.0,Ufo attacked by jet,2004,2,18
-119.28333329999998,46.2858333,2004-04-10 22:25:00,richland,wa,us,light,1200.0,bright light&#44 white&#44 with hints of gold.,2004,4,10
-112.23666670000001,33.580555600000004,2004-04-11 19:30:00,peoria,az,us,unknown,300.0,Moved quickly in sky&#44 was NOT a plane as it changed directions several times&#44 red/white lights,2004,4,11
-84.2033333,40.039444399999994,2004-04-25 21:00:00,troy,oh,us,disk,120.0,The thing was a disk that flew very low to the ground&#44 compared to a plane&#44 and went over some trees,2004,4,25
-122.1238889,48.1988889,2004-07-09 21:58:00,arlington,wa,us,unknown,300.0,Object emitted sparks like firewors and moved around sky erratically.,2004,7,9
-105.07444440000002,40.3977778,2004-08-09 00:00:00,loveland,co,us,disk,1800.0,4 am i was coming home from work........saw a light far away moving fast and it looked like it was blinking or flashing,2004,8,9
-105.99833329999998,38.5347222,2004-08-20 22:00:00,salida,co,us,triangle,10800.0,3 Crafts Above Methodist Mountain in Colorado in August 2004&#33,2004,8,20
-76.7533333,36.4033333,2004-09-17 00:00:00,gatesville,nc,us,oval,5.0,Smooth oval with indistinguishable darker area around center&#44 silvery color&#44 disappeared in a split-second.,2004,9,17
-91.6408333,35.769722200000004,2004-09-29 23:30:00,batesville,ar,us,light,240.0,A bright orange glow floated upward like a balloon but faster than a nearby plane then vanished. My sister and I watched it dissapear.,2004,9,29
-117.88944440000002,34.09,2004-10-02 18:20:00,west covina,ca,us,unknown,600.0,white&#44 caterpillar contrails over Los Angeles County,2004,10,2
-94.4525,38.8019444,2004-11-04 04:15:00,raymore,mo,us,unknown,900.0,slim green-bue beam,2004,11,4
-123.38194440000001,46.2033333,2004-11-27 13:05:00,cathlamet,wa,us,fireball,900.0,Fireball over SW Washington,2004,11,27
-77.6391667,38.038611100000004,2005-03-09 03:00:00,partlow,va,us,disk,30.0,Orange/red glowing objects. Spotsylvania Co Va. 2005 Photographed&#33,2005,3,9
-74.61027779999999,40.5741667,2005-03-16 07:56:00,somerville,nj,us,other,15.0,My dad and I were in the hottub. We were looking at the moon and saw a grayish sguare and oval shape. It was going across the sky fast.,2005,3,16
-93.16666670000001,44.8041667,2005-05-15 19:35:00,eagan,mn,us,disk,60.0,We saw them flying over the school about a half mile away. The came straight down and then stopped above the school and took off and di,2005,5,15
-123.0338889,44.9430556,2005-08-10 22:20:00,salem,or,us,light,3.0,Observed a light coming on and moving slowly northward past the Big Dipper Constellation for several seconds before going out. Then,2005,8,10
-97.7427778,30.266944399999996,2005-10-15 21:00:00,austin,tx,us,other,30.0,Two red &amp; green lights over SE Austin,2005,10,15
-111.89833329999999,33.5091667,2005-10-31 19:30:00,scottsdale,az,us,triangle,120.0,On Halloween Night 2005&#44 3 Lights in shape of a triangle moving over Scottsdale&#44 AZ.,2005,10,31
-75.52472220000001,39.158055600000004,2005-12-18 22:05:00,dover,de,us,diamond,6.0,Low flying extremely fast dull yellow/white diamond shaped object heading South. Dover De.,2005,12,18
-86.1336111,40.486388899999994,2006-03-22 23:00:00,kokomo,in,us,light,30.0,Aircraft or Flares? Two flickering balls of light hovering for hours.,2006,3,22
-87.7008333,30.245833299999997,2006-05-18 21:00:00,gulf  shores,al,us,unknown,300.0,We saw a triangled shaped  object in the sky in Gulf Shores ALA&#44 approx one mile up not moving.,2006,5,18
-118.2427778,34.0522222,2006-10-28 01:55:00,los angeles,ca,us,changing,60.0,Two shape-changing orange craft alternating positions over Los Angeles 10-28-06 at 1:55 a.m.,2006,10,28
-75.52472220000001,39.158055600000004,2007-01-01 00:00:00,dover,de,us,sphere,15.0,((HOAX??))  Shpere like air craft sighted in DE&#44 on new years.,2007,1,1
-87.65,41.85,2007-01-02 03:10:00,chicago,il,us,formation,120.0,Triangle shaped formation comprised of three fast moving balls,2007,1,2
-121.60916670000002,37.085,2007-01-03 16:40:00,san martin,ca,us,circle,180.0,bright light strait up in clear blue sky&#44did not move or blink&#44very noticeable.,2007,1,3
-73.5594444,40.71388889999999,2007-01-09 23:39:00,east meadow,ny,us,unknown,30.0,My wife and I were getting ready to sleep and both of us heard this strange noise. At first it was loud almost like an aircraft engine,2007,1,9
-114.59555559999998,33.6102778,2007-03-08 20:00:00,blythe,ca,us,disk,30.0,I was driving with my friend and we seen one or more saucers...,2007,3,8
